molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5441477,inactive,4.002176919254275,CC(C)[C@@H](Nc1c(N)cnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,384.5050000000002,3.6742000000000026,3.0,5.0
CHEMBL5441529,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(-c2c[nH]cn2)ncn1)c1ccc2c(c1)OCCO2,351.4100000000002,3.4471000000000007,2.0,6.0
CHEMBL5441816,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(-c2cc[nH]n2)ncn1)c1ccc2c(c1)OCCO2,351.4100000000002,3.4471000000000007,2.0,6.0
CHEMBL5441461,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(-n2ccnn2)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,398.49200000000025,2.5864000000000003,1.0,8.0
CHEMBL5442024,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(-n2nccn2)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,398.49200000000025,2.5864000000000003,1.0,8.0
CHEMBL5441839,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(C(N)=O)ccn1)c1ccc2c(c1)S(=O)(=O)CCC2,373.4780000000001,2.709600000000001,2.0,5.0
CHEMBL5441563,inactive,4.358287985090114,CC(C)[C@@H](Nc1cc(N)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,346.4560000000002,2.5879000000000003,2.0,6.0
CHEMBL5442034,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(N2CCC[C@H]2C(=O)O)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,444.55700000000024,3.0591000000000017,2.0,7.0
CHEMBL5442132,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(N2CCNCC2)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,415.5630000000002,2.4152999999999993,2.0,7.0
CHEMBL5441522,inactive,4.002176919254275,CC(C)[C@@H](Nc1cc(N2CCOCC2)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,416.5470000000002,2.8423000000000016,1.0,7.0
CHEMBL5441606,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccc(NC(=O)NC2CC2)cc1)c1ccc2c(c1)OCCO2,381.47600000000017,4.550900000000003,3.0,4.0
CHEMBL5441624,inactive,4.002176919254275,CC(C)[C@@H](Nc1cccc2nc[nH]c(=O)c12)c1ccc2c(c1)S(=O)(=O)CCC2,397.5000000000002,3.452200000000002,2.0,5.0
CHEMBL5441582,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,369.4900000000002,4.092000000000002,2.0,4.0
CHEMBL5441670,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccnc2[nH]ncc12)c1ccc2c(c1)S(=O)(=O)CCC2,370.4780000000002,3.487000000000002,2.0,5.0
CHEMBL5441532,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccnc2nccn12)c1ccc2c(c1)S(=O)(=O)CCC2,370.4780000000002,3.2584000000000017,1.0,6.0
CHEMBL5441531,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccnc2nn[nH]c12)c1ccc2c(c1)S(=O)(=O)CCC2,371.4660000000002,2.8820000000000014,2.0,6.0
CHEMBL5442133,inactive,4.002176919254275,CC(C)[C@@H](Nc1ccncn1)c1ccc2c(c1)S(=O)(=O)CCC2,331.44100000000014,3.005700000000002,1.0,5.0
CHEMBL5441817,inactive,4.002176919254275,CC(C)[C@@H](Nc1cnc(C(=O)O)cn1)c1ccc2c(c1)OCCO2,329.35600000000017,2.755200000000001,2.0,6.0
CHEMBL5442000,inactive,4.002176919254275,CC(C)[C@@H](Nc1cnc2[nH]cnc2c1)c1ccc2c(c1)S(=O)(=O)CCC2,370.4780000000002,3.487000000000002,2.0,5.0
